Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2007,193755.202
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2008,194228.5407
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2009,185534.7749
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2010,184149.9598
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2011,179208.4199
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2012,171755.3813
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2013,169477.5071
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2014,169140.1655
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2015,168008.8374
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2016,158783.2986
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2017,163409.0405
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2018,172062.0903
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2019,161178.2661
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,2020,159202.2154
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1990,38265.21064
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1991,32380.52533
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1992,30178.32982
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1993,31697.30759
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1994,29595.53251
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1995,27556.58544
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1996,28345.83013
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1997,29058.82885
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1998,28617.88607
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,1999,30333.16665
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2000,28500.09961
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2001,30958.102
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2002,31644.90561
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2003,33362.6528
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2004,32583.84482
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2005,36834.33535
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2006,34990.11139
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2007,36997.83737
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2008,34693.73496
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2009,29893.26155
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2010,25433.71453
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2011,22385.97182
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2012,25155.24961
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2013,26621.6526
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2014,29148.11477
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2015,28286.77861
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2016,25042.82384
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2017,23016.70875
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2018,25858.44527
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2019,24042.26882
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",South Australia,South Australia,2020,25376.39236
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1990,17888.21348
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1991,21698.93773
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1992,16605.75227
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1993,14719.01473
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1994,15088.25274
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1995,17064.49585
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1996,15864.7687
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1997,13446.25807
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1998,14632.85864
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,1999,14688.36525
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2000,17757.67939
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2001,16724.44811
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2002,13721.13505
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2003,14043.92946
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2004,14232.63244
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2005,13442.12591
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2006,10491.55493
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2007,8872.914341
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2008,11948.01751
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2009,11193.683
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2010,9661.158196
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2011,9602.692422
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2012,3222.914698
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2013,410.5509746
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2014,-673.5281511
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2015,-1627.532486
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2016,-2473.141386
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2017,-3154.623984
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2018,-3987.682254
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2019,-2508.833506
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Tasmania,Tasmania,2020,-3732.735278
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1990,110632.7216
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1991,112805.722
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1992,107675.2069
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1993,105960.2619
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1994,106684.8789
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1995,106789.1016
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1996,101270.7208
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1997,103528.6735
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1998,109601.7407
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,1999,109966.2456
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2000,115289.0212
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2001,116210.8055
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2002,111986.6708
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2003,118837.5336
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2004,124163.1276
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2005,118586.2156
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2006,123476.8673
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2007,127391.8751
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2008,125425.1955
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2009,136359.891
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2010,139782.8975
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2011,138640.8455
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2012,132336.2006
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2013,119450.2962
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2014,114840.3546
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2015,114524.1965
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2016,105605.1641
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2017,101783.5979
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2018,93117.05731
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2019,88404.16011
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Victoria,Victoria,2020,83274.00902
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1990,82367.01033
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1991,81247.1457
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Western Australia,Western Australia,1992,72190.72033
